feature,mean_pi_uncapped,alpha_consistency_label,final_decision,family,group
s_contrast_band_1_mean,1.0,High,Strong candidate,Spectral,U
ucla_flux,1.0,High,Strong candidate,UCLA,U
gfcc_8_mean,0.9995,High,Strong candidate,GFCC,U
lpcc_10_mean,0.9995,High,Strong candidate,LPC,U
lpcc_6_mean,0.999,High,Strong candidate,LPC,U
gfcc_7_mean,0.993,High,Strong candidate,GFCC,U
mfcc_6_mean,0.9855,High,Strong candidate,MFCC,U
lpcc_2_mean,0.9755,High,Strong candidate,LPC,U
e_std,0.97,High,Strong candidate,Temporal,U
lsf_8_std,0.9545,High,Strong candidate,LPC,U
jit_factor,0.937,High,Strong candidate,GAT,U
s_logdist_std,0.936,High,Strong candidate,Spectral,U
pncc_4_std,0.8745,High,Strong candidate,PNCC,U
dpncc_1_std,0.8715,High,Strong candidate,PNCC,U
lsf_3_mean,0.839,High,Strong candidate,LPC,U
dpncc_8_std,0.8205,High,Strong candidate,PNCC,U
mfcc_2_std,0.8185,High,Strong candidate,MFCC,U
ddmfcc_7_std,0.804,High,Strong candidate,MFCC,U
lpc_11_mean,0.7929999999999999,High,Strong candidate,LPC,U
Schlegel21_PF,0.775,High,Strong candidate,Schlegel21,U
plpcc_1_std,0.748,High,Strong candidate,PLPCC,U
lpcc_7_std,0.741,High,Strong candidate,LPC,U
lpcc_8_mean,0.7230000000000001,High,Strong candidate,LPC,U
gfcc_7_std,0.7105,High,Strong candidate,GFCC,U
gfcc_1_std,0.7095,High,Strong candidate,GFCC,U
ppq5,0.697,High,Strong candidate,GAT,U
pncc_9_std,0.6595,Moderate,Moderate candidate,PNCC,U
plpcc_4_std,0.6580000000000001,Moderate,Moderate candidate,PLPCC,U
lpc_4_mean,0.6144999999999999,Moderate,Moderate candidate,LPC,U
mfcc_11_mean,0.611,High,Moderate candidate,MFCC,U
zcr_std,0.5845,Moderate,Moderate candidate,Temporal,U
plpcc_12_mean,0.5820000000000001,Moderate,Moderate candidate,PLPCC,U
ddgfcc_0_std,0.553,Moderate,Moderate candidate,GFCC,U
plpcc_10_mean,0.5419999999999999,High,Strong candidate,PLPCC,U
gfcc_4_std,0.5085,Moderate,Moderate candidate,GFCC,U
pncc_7_std,0.482,Moderate,Moderate candidate,PNCC,U
s_contrast_band_7_mean,0.398,Moderate,Moderate candidate,Spectral,U
