feature,family,mean_pi_S,selected_S,mean_pi_U,selected_U,mean_pi_B,selected_B
Schlegel21_HNR,Schlegel21,0.988,True,,False,,False
Schlegel21_PF,Schlegel21,,False,0.775,True,,False
ddgfcc_0_std,GFCC,0.5605,True,0.553,True,,False
ddmfcc_7_std,MFCC,,False,0.804,True,,False
dpncc_1_std,PNCC,,False,0.8715,True,,False
dpncc_8_std,PNCC,,False,0.8205,True,,False
e_std,Temporal,,False,0.97,True,,False
gfcc_0_mean,GFCC,1.0,True,,False,,False
gfcc_10_mean,GFCC,,False,,False,0.9895,True
gfcc_1_std,GFCC,,False,0.7095,True,,False
gfcc_4_std,GFCC,,False,0.5085,True,,False
gfcc_6_mean,GFCC,0.902,True,,False,,False
gfcc_7_mean,GFCC,,False,0.993,True,,False
gfcc_7_std,GFCC,,False,0.7105,True,,False
gfcc_8_mean,GFCC,1.0,True,0.9995,True,,False
jit_factor,GAT,,False,0.937,True,,False
lpc_11_mean,LPC,,False,0.793,True,,False
lpc_3_mean,LPC,,False,,False,0.758,True
lpc_4_mean,LPC,,False,0.6145,True,,False
lpcc_10_mean,LPC,0.8015,True,0.9995,True,,False
lpcc_2_mean,LPC,,False,0.9755,True,0.684,True
lpcc_4_mean,LPC,0.5185,True,,False,,False
lpcc_5_mean,LPC,1.0,True,,False,,False
lpcc_6_mean,LPC,,False,0.999,True,,False
lpcc_7_std,LPC,,False,0.741,True,,False
lpcc_8_mean,LPC,,False,0.723,True,0.9425,True
lpcc_9_mean,LPC,1.0,True,,False,0.9195,True
lpcc_9_std,LPC,,False,,False,0.839,True
lsf_12_std,LPC,,False,,False,0.8285,True
lsf_3_mean,LPC,,False,0.839,True,,False
lsf_4_std,LPC,1.0,True,,False,,False
lsf_5_mean,LPC,,False,,False,1.0,True
lsf_8_std,LPC,,False,0.9545,True,,False
mfcc_11_mean,MFCC,,False,0.611,True,,False
mfcc_1_mean,MFCC,,False,,False,1.0,True
mfcc_2_mean,MFCC,0.999,True,,False,,False
mfcc_2_std,MFCC,,False,0.8185,True,,False
mfcc_6_mean,MFCC,0.4165,True,0.9855,True,,False
mfcc_7_mean,MFCC,0.767,True,,False,0.986,True
plpcc_10_mean,PLPCC,,False,0.542,True,,False
plpcc_11_mean,PLPCC,,False,,False,0.9995,True
plpcc_12_mean,PLPCC,,False,0.582,True,,False
plpcc_1_std,PLPCC,,False,0.748,True,,False
plpcc_4_std,PLPCC,,False,0.658,True,,False
plpcc_7_mean,PLPCC,,False,,False,0.8205,True
pncc_4_std,PNCC,,False,0.8745,True,,False
pncc_6_mean,PNCC,0.6295,True,,False,,False
pncc_7_std,PNCC,,False,0.482,True,,False
pncc_9_std,PNCC,,False,0.6595,True,,False
ppq5,GAT,,False,0.697,True,,False
s_contrast_band_1_mean,Spectral,,False,1.0,True,,False
s_contrast_band_5_mean,Spectral,0.7965,True,,False,,False
s_contrast_band_7_mean,Spectral,1.0,True,0.398,True,,False
s_entropy_mean,Spectral,0.756,True,,False,,False
s_flux_mean,Spectral,1.0,True,,False,,False
s_logdist_std,Spectral,,False,0.936,True,,False
ucla_flux,UCLA,,False,1.0,True,,False
zcr_std,Temporal,,False,0.5845,True,,False
