"feature","subject","comparison","n_pre","n_post","W_statistic","p_raw","note","p_BY","label"
"Schlegel21_HNR","Barry and Stevie","Pre vs Mid Post",14,5,15,0.0710200560182872,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.88769139052255,"secondary_exploratory"
"Schlegel21_HNR","Barry and Stevie","Pre vs Late Post",14,29,111,0.0177076639314728,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.266883398564745,"secondary_exploratory"
"Schlegel21_HNR","Cher and Adele","Pre vs Early Post",49,170,146,8.40502979537433e-25,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",8.71963582392844e-22,"secondary_exploratory"
"Schlegel21_HNR","Cher and Adele","Pre vs Mid Post",49,73,862,0.00000132453507617974,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.0000505808588581245,"secondary_exploratory"
"Schlegel21_HNR","Cher and Adele","Pre vs Late Post",49,304,275,2.76968823506197e-27,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",8.6200786946112e-24,"secondary_exploratory"
"Schlegel21_HNR","Elvis","Pre vs Early Post",25,65,532,0.0116581496775852,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.185593691263254,"secondary_exploratory"
"Schlegel21_HNR","Elvis","Pre vs Late Post",25,40,406,0.207397584411158,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",1,"secondary_exploratory"
"Schlegel21_HNR","Michael and Prince","Pre vs Early Post",28,31,77,0.0000000625120160015032,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.00000318943689958093,"secondary_exploratory"
"Schlegel21_HNR","Michael and Prince","Pre vs Mid Post",28,34,112,0.000000272271238012721,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.0000121926275027662,"secondary_exploratory"
"Schlegel21_HNR","Michael and Prince","Pre vs Late Post",28,8,27,0.00130305034548589,"SECONDARY/DESCRIPTIVE ONLY. These tests treat observations as independent and therefore do not fully account for repeated measurements within pig pair. Primary inference comes from the LMM (script 02).",0.02835995272902,"secondary_exploratory"
