"contrast","Treatment","estimate","SE","df","t.ratio","p.value","feature","note"
"Pre - Early Post","S",-3.39394665119179,0.290841835858526,1476.08268314683,-11.6693894507072,7.3692712469808e-30,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","S",-1.28179725563863,0.353891545515532,1475.20515581569,-3.62200587123766,0.000302231381514049,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","S",-4.44518209194091,0.276322730786434,1475.54594109586,-16.0869215474587,5.36888261251179e-53,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","S",2.11214939555316,0.28781988022098,1475.09419183009,7.33844164597494,0.000000000000533166636220607,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","S",-1.05123544074912,0.186245241345079,1476.05291478338,-5.64436134398391,0.0000000238195808950456,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","S",-3.16338483630228,0.266747934148464,1473.21082107027,-11.8590790455443,1.424588436357e-30,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","U",-1.25213800531205,0.411492111144025,1476.97242181528,-3.04292104611889,0.00476854937201123,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","U",-1.44640111321427,0.515351740946444,1474.38218644293,-2.8066289454227,0.00760821335966592,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","U",0.426141941729269,0.350146485982451,1445.76687403828,1.21703903591546,0.268545584403918,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","U",-0.194263107902223,0.52288901329976,1477.67541894796,-0.37151881749494,0.710304405374463,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","U",1.67827994704132,0.453012951957117,1426.73809259706,3.70470632195123,0.00131830419187737,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","U",1.87254305494354,0.558478059971293,1419.10600933906,3.35293933487699,0.00246191619563159,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","S",-41.2181102108785,71.7015729671863,1476.72747557566,-0.574856429296769,0.565475964891713,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
