"contrast","Stage","estimate","SE","df","t.ratio","p.value","feature","note"
"S - U","Pre",-1.37090463209768,1.27380690739246,5.5891271184438,-1.07622640774023,0.32607245930199,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",0.770904013782062,1.27859688050747,5.66736634401285,0.602929684511739,0.569876641189006,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",-1.53550848967332,1.32909829911153,6.6001455566857,-1.15530092145914,0.288072542840732,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",3.5004194015725,1.25530273129575,5.25309719793053,2.7885061621425,0.0364904680718233,"Schlegel21_HNR","BH-adjusted; exploratory post-hoc"
"S - U","Pre",213.978681419439,276.726946405936,5.77859337808611,0.773248446522984,0.46981287106408,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",-55.5408505832714,278.062580352635,5.87991822617302,-0.199742268495226,0.84841041581843,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",-380.223749605967,292.093559237881,7.12874412721868,-1.30171904713692,0.233496567865058,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",62.7371867675094,271.526977814499,5.32481525849085,0.231053235566044,0.825891366571331,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-2.18121021288255,0.589279201617283,18.3974467759819,-3.70148854209718,0.00158390010530048,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",-0.435114743699607,0.603835416523776,17.5395839690523,-0.720585000138815,0.48065926162934,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",2.9217213190676,0.771408557152318,34.3512724398342,3.78751478963785,0.000586169202260072,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",5.64727424914122,0.497068704618966,5.42985159739177,11.3611542965076,0.0000545375492457754,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
"S - U","Pre",1.19862239755991,1.68230248218926,9.36718230693477,0.712489228453186,0.493526274553324,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",-1.97549370330501,1.71125618995929,9.68185528759781,-1.15441142880658,0.276029841504767,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",1.09424551637486,2.01104222001404,17.1183983147186,0.544118619432671,0.593376984755847,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",1.8489600689594,1.55225333878851,6.01763372662475,1.19114581541339,0.278449914041881,"ddmfcc_7_std","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-0.0200360688943491,0.00574841936249092,37.8659772498986,-3.48549185974264,0.00125899012600531,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",0.0162928951110502,0.00586799730996706,30.1435286594461,2.7765682651858,0.00935364667932697,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",0.023946393064019,0.0078085899896532,49.6226244584995,3.06667312482141,0.00349930607216419,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",0.00628710351289112,0.00428696552047097,3.50652399014209,1.46656264970389,0.22597293839255,"dpncc_1_std","BH-adjusted; exploratory post-hoc"
"S - U","Pre",0.00428429738732203,0.00115819759541897,52.9167666356774,3.69910747895501,0.000515729707107886,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",-0.00274640533720204,0.00117707840326972,38.2073703999399,-2.33323908549591,0.0249977624332323,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",0.000957416940265394,0.00158007446446839,55.8221070712064,0.605931531579754,0.547016259912111,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",0.00167042780119495,0.000803025131799284,2.625719474456,2.08016877062382,0.141832658020357,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-37.7398928147347,361.604306413611,5.7465788800666,-0.104367929655038,0.920424136505297,"e_std","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",-103.915706255566,363.286039833068,5.84407788672513,-0.286043764035952,0.784712582490035,"e_std","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",-1002.22733748468,380.963041544226,7.03906930220061,-2.6307731412007,0.0337063691713354,"e_std","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",327.613900923805,355.065460959824,5.31301174461724,0.922685918360488,0.396139507693434,"e_std","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-0.908577946180926,4.27982526428926,6.45812941598026,-0.212293233969638,0.838421636162084,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",-0.896403003468626,4.31485724062706,6.63313462813698,-0.207748009604683,0.841659191969769,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",-12.4775288384681,4.67937794845828,9.05493726671867,-2.66649306294633,0.0256389319442621,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
