"Stage","Treatment","emmean","SE","df","lower.CL","upper.CL","feature"
"Pre","S",-0.769163192214245,0.840178921324214,5.75829877260275,-2.84610686075602,1.30778047632753,"Schlegel21_HNR"
"Early Post","S",2.62478345897755,0.819677059837726,5.21104943785549,0.543146800543578,4.70642011741151,"Schlegel21_HNR"
"Mid Post","S",0.512634063424384,0.842821960979376,5.82773224121407,-1.56454483856861,2.58981296541738,"Schlegel21_HNR"
"Late Post","S",3.67601889972666,0.812765645633936,5.04057993689902,1.59178726505721,5.76025053439612,"Schlegel21_HNR"
"Pre","U",0.601741439883436,0.957435855545015,5.46388614247853,-1.79788553123785,3.00136841100472,"Schlegel21_HNR"
"Early Post","U",1.85387944519548,0.981294808107743,6.02213264004873,-0.545124937566449,4.25288382795742,"Schlegel21_HNR"
"Mid Post","U",2.04814255309771,1.02769325715022,7.20986797355966,-0.367699514724681,4.46398462092009,"Schlegel21_HNR"
"Late Post","U",0.175599498154167,0.95665926665444,5.41512310623938,-2.22793632223151,2.57913531853984,"Schlegel21_HNR"
"Pre","S",705.769776104184,182.914257603131,6.0038619181973,258.264489331775,1153.27506287659,"Schlegel21_PF"
"Early Post","S",746.987886315062,177.167333875191,5.27480781096085,298.60952107651,1195.36625155362,"Schlegel21_PF"
"Mid Post","S",503.539168957082,183.650689604743,6.09517143165025,55.8575134190111,951.220824495152,"Schlegel21_PF"
"Late Post","S",830.548772989702,175.222746375134,5.05220593429619,381.520698478214,1279.57684750119,"Schlegel21_PF"
"Pre","U",491.791094684745,207.653984389053,5.6124321654225,-24.9476921728599,1008.52988154235,"Schlegel21_PF"
"Early Post","U",802.528736898334,214.314102195638,6.35524535094816,285.145353383811,1319.91212041286,"Schlegel21_PF"
"Mid Post","U",883.762918563049,227.136680340178,7.95448551366951,359.462669729659,1408.06316739644,"Schlegel21_PF"
"Late Post","U",767.811586222193,207.422006628591,5.53344622212009,249.712198684543,1285.91097375984,"Schlegel21_PF"
"Pre","S",12.4657916616892,0.409931563868667,22.6006567726331,11.6169537260557,13.3146295973228,"ddgfcc_0_std"
"Early Post","S",13.4166565102083,0.321832691126173,7.3863536356769,12.6636386254843,14.1696743949323,"ddgfcc_0_std"
"Mid Post","S",16.7246223890233,0.419252277454148,22.3015779336858,15.8558275788458,17.5934171992007,"ddgfcc_0_std"
"Late Post","S",15.6484099924909,0.290359835423191,5.19673318015101,14.9104355806532,16.3863844043286,"ddgfcc_0_std"
"Pre","U",14.6470018745718,0.423327403321461,15.4582118011731,13.7470247929005,15.5469789562431,"ddgfcc_0_std"
"Early Post","U",13.8517712539079,0.510921646802059,28.0273806047928,12.8052417636407,14.8983007441751,"ddgfcc_0_std"
"Mid Post","U",13.8029010699557,0.647532771292181,42.7812142175413,12.4968336244047,15.1089685155066,"ddgfcc_0_std"
"Late Post","U",10.0011357433497,0.403445737472332,5.57194404347374,8.99526107593342,11.007010410766,"ddgfcc_0_std"
"Pre","S",45.492970067965,1.14144131464939,10.7386495432469,42.9731947121538,48.0127454237762,"ddmfcc_7_std"
"Early Post","S",46.7590102288032,1.00394280330031,6.20592027073577,44.3220747114691,49.1959457461372,"ddmfcc_7_std"
"Mid Post","S",46.9488904502066,1.15758169885632,11.136239778152,44.4048680623343,49.4929128380788,"ddmfcc_7_std"
"Late Post","S",47.3970880869179,0.955425710668838,5.18489379319861,44.9671982116718,49.826977962164,"ddmfcc_7_std"
"Pre","U",44.2943476704051,1.23582092828679,8.39611674907927,41.4677735620882,47.1209217787219,"ddmfcc_7_std"
"Early Post","U",48.7345039321082,1.38581982789087,12.7936193434349,45.735705370454,51.7333024937624,"ddmfcc_7_std"
"Mid Post","U",45.8546449338317,1.64447420811392,22.1336410535648,42.4454076710484,49.2638821966151,"ddmfcc_7_std"
"Late Post","U",45.5481280179585,1.22337734946051,6.64869115864262,42.6240237565255,48.4722322793915,"ddmfcc_7_std"
"Pre","S",0.157673962304952,0.00407030590878787,45.3375013326514,0.149477629447787,0.165870295162118,"dpncc_1_std"
"Early Post","S",0.164345174848737,0.00290168898384691,8.2126700251516,0.157683909036439,0.171006440661034,"dpncc_1_std"
"Mid Post","S",0.152598920486966,0.00420217882647195,36.4599115530992,0.144080238018539,0.161117602955393,"dpncc_1_std"
"Late Post","S",0.164346078197498,0.00250841217506452,4.74938220098362,0.157794301814911,0.170897854580084,"dpncc_1_std"
"Pre","U",0.177710031199302,0.00405917910124044,32.2060645338484,0.169443828242957,0.185976234155645,"dpncc_1_std"
"Early Post","U",0.148052279737687,0.00510035228889164,56.6142495891078,0.137837492053301,0.158267067422072,"dpncc_1_std"
"Mid Post","U",0.128652527422947,0.006581471775892,57.084005684963,0.115473777836673,0.141831277009221,"dpncc_1_std"
"Late Post","U",0.158058974684607,0.00347648410519808,2.9728829068472,0.146937939814429,0.169180009554784,"dpncc_1_std"
"Pre","S",0.0502160923714327,0.000825881175737713,59.5108066332804,0.0485638046984705,0.051868380044395,"dpncc_8_std"
"Early Post","S",0.047927901406841,0.000570402830917026,8.23545238605702,0.0466190672926295,0.0492367355210524,"dpncc_8_std"
"Mid Post","S",0.0507776169600043,0.000860246790888904,39.7007525966571,0.0490385850233922,0.0525166488966165,"dpncc_8_std"
"Late Post","S",0.0479324238532558,0.000489365211169076,4.18996873668163,0.0465976813045894,0.0492671664019223,"dpncc_8_std"
"Pre","U",0.0459317949841107,0.000811998739898273,47.4117780590353,0.0442986386491238,0.0475649513190976,"dpncc_8_std"
"Early Post","U",0.050674306744043,0.00102963788679605,78.5993946162777,0.0486247013674932,0.0527239121205928,"dpncc_8_std"
"Mid Post","U",0.0498202000197389,0.00132537193724268,65.1136379113087,0.0471733370532024,0.0524670629862755,"dpncc_8_std"
"Late Post","U",0.0462619960520609,0.000636687562622909,2.02602603626297,0.0435559985490207,0.0489679935551011,"dpncc_8_std"
"Pre","S",1785.05773972305,238.93320601919,5.96231709506117,1199.51237941014,2370.60310003596,"e_std"
"Early Post","S",2141.9417950311,231.703528937198,5.26416659055151,1555.20757120236,2728.67601885984,"e_std"
"Mid Post","S",1168.5067438983,239.860573257681,6.0499516535204,582.761726334518,1754.25176146207,"e_std"
"Late Post","S",2141.95334679863,229.258724181035,5.0502862733998,1554.3856323541,2729.52106124316,"e_std"
"Pre","U",1822.79763253779,271.419596710076,5.58735142883385,1146.58492051722,2499.01034455836,"e_std"
"Early Post","U",2245.85750128667,279.803898142329,6.29883388660347,1568.99917995797,2922.71582261537,"e_std"
"Mid Post","U",2170.73408138297,295.972539974783,7.82778931980972,1485.59772029337,2855.87044247257,"e_std"
"Late Post","U",1814.33944587483,271.130815204573,5.51395881851991,1136.46934458884,2492.20954716082,"e_std"
"Pre","S",-982.788808434244,2.84819877499899,6.89003224153192,-989.545580302923,-976.032036565565,"gfcc_0_mean"
"Early Post","S",-983.069190602842,2.69460100323572,5.48883271611158,-989.814386190266,-976.323995015419,"gfcc_0_mean"
"Mid Post","S",-998.860893717692,2.86748949817377,7.05672075122466,-1005.63039625806,-992.091391177326,"gfcc_0_mean"
"Late Post","S",-995.880741147005,2.64201608087377,5.08902107222758,-1002.636681699,-989.124800595013,"gfcc_0_mean"
"Pre","U",-981.880230488063,3.19447460953173,6.14317698199711,-989.652879306063,-974.107581670063,"gfcc_0_mean"
"Early Post","U",-982.172787599374,3.37003240939205,7.56222851391004,-990.023103931729,-974.322471267018,"gfcc_0_mean"
"Mid Post","U",-986.383364879224,3.69784828817798,10.7010298458035,-994.550103062111,-978.216626696337,"gfcc_0_mean"
"Late Post","U",-978.830430626809,3.18687943385623,5.90032378732453,-986.660488070289,-971.000373183329,"gfcc_0_mean"
"Pre","S",58.3907262802853,4.97701460495499,7.12676338661272,46.6642592402087,70.1171933203619,"gfcc_1_std"
"Early Post","S",71.6611722992259,4.68183382201237,5.54215939259285,59.9717720423246,83.3505725561271,"gfcc_1_std"
