"feature_index","feature","n_nonmissing","n_missing","pct_missing"
1,"Schlegel21_HNR",1486,0,0
2,"Schlegel21_PF",1486,0,0
3,"ddgfcc_0_std",1486,0,0
4,"ddmfcc_7_std",1486,0,0
5,"dpncc_1_std",1486,0,0
6,"dpncc_8_std",1486,0,0
7,"e_std",1486,0,0
8,"gfcc_0_mean",1486,0,0
9,"gfcc_1_std",1486,0,0
10,"gfcc_4_std",1486,0,0
11,"gfcc_6_mean",1486,0,0
12,"gfcc_7_mean",1486,0,0
13,"gfcc_7_std",1486,0,0
14,"gfcc_8_mean",1486,0,0
15,"jit_factor",1486,0,0
16,"lpc_11_mean",1486,0,0
17,"lpc_4_mean",1486,0,0
18,"lpcc_10_mean",1486,0,0
19,"lpcc_2_mean",1486,0,0
20,"lpcc_4_mean",1486,0,0
21,"lpcc_5_mean",1486,0,0
22,"lpcc_6_mean",1486,0,0
23,"lpcc_7_std",1486,0,0
24,"lpcc_8_mean",1486,0,0
25,"lpcc_9_mean",1486,0,0
26,"lsf_3_mean",1486,0,0
27,"lsf_4_std",1486,0,0
28,"lsf_8_std",1486,0,0
29,"mfcc_11_mean",1486,0,0
30,"mfcc_2_mean",1486,0,0
31,"mfcc_2_std",1486,0,0
32,"mfcc_6_mean",1486,0,0
33,"mfcc_7_mean",1486,0,0
34,"plpcc_10_mean",1486,0,0
35,"plpcc_12_mean",1486,0,0
36,"plpcc_1_std",1486,0,0
37,"plpcc_4_std",1486,0,0
38,"pncc_4_std",1486,0,0
39,"pncc_6_mean",1486,0,0
40,"pncc_7_std",1486,0,0
41,"pncc_9_std",1486,0,0
42,"ppq5",1486,0,0
43,"s_contrast_band_1_mean",1486,0,0
44,"s_contrast_band_5_mean",1486,0,0
45,"s_contrast_band_7_mean",1486,0,0
46,"s_entropy_mean",1486,0,0
47,"s_flux_mean",1486,0,0
48,"s_logdist_std",1486,0,0
49,"ucla_flux",1486,0,0
50,"zcr_std",1486,0,0
